merchant_id,merchant_name,merchant_category,country_code,status,created_at,updated_at
1,Retail Merchant 1,RETAIL,US,ACTIVE,2024-07-02 00:00:00,2026-08-01 00:00:00
2,Entertainment Merchant 2,ENTERTAINMENT,US,ACTIVE,2024-10-19 00:00:00,2026-08-01 00:00:00
3,Entertainment Merchant 3,ENTERTAINMENT,US,ACTIVE,2024-03-18 00:00:00,2026-08-01 00:00:00
4,Travel Merchant 4,TRAVEL,US,ACTIVE,2024-10-04 00:00:00,2026-08-01 00:00:00
5,Entertainment Merchant 5,ENTERTAINMENT,US,ACTIVE,2024-02-19 00:00:00,2026-08-01 00:00:00
6,Ecommerce Merchant 6,ECOMMERCE,US,ACTIVE,2024-03-09 00:00:00,2026-08-01 00:00:00
7,Healthcare Merchant 7,HEALTHCARE,US,ACTIVE,2024-05-10 00:00:00,2026-08-01 00:00:00
8,Ecommerce Merchant 8,ECOMMERCE,US,ACTIVE,2024-08-24 00:00:00,2026-08-01 00:00:00
9,Ecommerce Merchant 9,ECOMMERCE,US,ACTIVE,2024-08-07 00:00:00,2026-08-01 00:00:00
10,Restaurant Merchant 10,RESTAURANT,US,ACTIVE,2024-05-20 00:00:00,2026-08-01 00:00:00
11,Retail Merchant 11,RETAIL,US,SUSPENDED,2024-02-09 00:00:00,2026-08-01 00:00:00
12,Retail Merchant 12,RETAIL,US,ACTIVE,2024-05-13 00:00:00,2026-08-01 00:00:00
13,Healthcare Merchant 13,HEALTHCARE,US,SUSPENDED,2024-06-19 00:00:00,2026-08-01 00:00:00
14,Restaurant Merchant 14,RESTAURANT,US,SUSPENDED,2024-09-02 00:00:00,2026-08-01 00:00:00
15,Utilities Merchant 15,UTILITIES,US,ACTIVE,2024-03-13 00:00:00,2026-08-01 00:00:00
16,Retail Merchant 16,RETAIL,US,SUSPENDED,2024-12-21 00:00:00,2026-08-01 00:00:00
17,Retail Merchant 17,RETAIL,US,ACTIVE,2024-12-28 00:00:00,2026-08-01 00:00:00
18,Ecommerce Merchant 18,ECOMMERCE,US,ACTIVE,2024-08-08 00:00:00,2026-08-01 00:00:00
19,Utilities Merchant 19,UTILITIES,US,ACTIVE,2024-09-11 00:00:00,2026-08-01 00:00:00
20,Retail Merchant 20,RETAIL,US,ACTIVE,2024-01-20 00:00:00,2026-08-01 00:00:00
21,Restaurant Merchant 21,RESTAURANT,US,ACTIVE,2024-02-15 00:00:00,2026-08-01 00:00:00
22,Retail Merchant 22,RETAIL,US,ACTIVE,2024-05-21 00:00:00,2026-08-01 00:00:00
23,Utilities Merchant 23,UTILITIES,US,ACTIVE,2024-10-26 00:00:00,2026-08-01 00:00:00
24,Retail Merchant 24,RETAIL,US,SUSPENDED,2024-07-18 00:00:00,2026-08-01 00:00:00
25,Travel Merchant 25,TRAVEL,US,ACTIVE,2024-09-21 00:00:00,2026-08-01 00:00:00
26,Utilities Merchant 26,UTILITIES,US,ACTIVE,2024-04-05 00:00:00,2026-08-01 00:00:00
27,Travel Merchant 27,TRAVEL,US,SUSPENDED,2024-08-23 00:00:00,2026-08-01 00:00:00
28,Retail Merchant 28,RETAIL,US,ACTIVE,2024-07-12 00:00:00,2026-08-01 00:00:00
