transaction_id,customer_id,merchant_id,payment_method_id,transaction_ts,transaction_type,status,currency_code,amount,processing_fee,authorization_code,source_system,updated_at
1,117,6,6,2025-03-04 14:29:44,PAYMENT,APPROVED,USD,475.33,2.45,AUTH0000000001,PAYMENTS_APP,2025-03-04 14:29:44
2,145,14,1,2025-01-22 01:50:29,PAYMENT,APPROVED,USD,609.68,3.22,AUTH0000000002,PAYMENTS_APP,2025-01-22 01:50:29
3,153,1,3,2025-08-10 08:28:59,PAYMENT,APPROVED,USD,1936.15,53.85,AUTH0000000003,PAYMENTS_APP,2025-08-10 08:28:59
4,7,9,1,2025-05-14 19:40:07,PAYMENT,APPROVED,USD,1996.49,9.46,AUTH0000000004,PAYMENTS_APP,2025-05-14 19:40:07
5,108,34,1,2025-11-28 00:34:28,PAYMENT,APPROVED,USD,664.15,3.53,AUTH0000000005,PAYMENTS_APP,2025-11-28 00:34:28
6,158,3,6,2026-01-06 18:41:11,PAYMENT,DECLINED,USD,273.53,4.96,,PAYMENTS_APP,2026-01-06 18:41:11
7,123,26,4,2026-06-18 10:58:55,PAYMENT,APPROVED,USD,1608.71,3.31,AUTH0000000007,PAYMENTS_APP,2026-06-18 10:58:55
8,33,18,5,2026-03-31 02:40:32,PAYMENT,APPROVED,USD,805.96,4.87,AUTH0000000008,PAYMENTS_APP,2026-03-31 02:40:32
9,155,28,1,2025-11-29 13:52:05,PAYMENT,DECLINED,USD,1326.86,21.8,,PAYMENTS_APP,2025-11-29 13:52:05
10,56,28,4,2025-04-28 23:50:14,PAYMENT,PENDING,USD,2194.39,43.33,,PAYMENTS_APP,2025-04-28 23:50:14
11,81,28,3,2026-02-28 12:20:24,PAYMENT,APPROVED,USD,997.43,25.74,AUTH0000000011,PAYMENTS_APP,2026-02-28 12:20:24
12,111,7,6,2025-06-06 17:16:03,PAYMENT,APPROVED,USD,228.97,0.89,AUTH0000000012,PAYMENTS_APP,2025-06-06 17:16:03
13,172,8,4,2026-07-24 02:11:01,PAYMENT,DECLINED,USD,2391.6,48.06,,PAYMENTS_APP,2026-07-24 02:11:01
14,80,23,1,2025-12-29 15:23:55,PAYMENT,PENDING,USD,129.56,1.4,,PAYMENTS_APP,2025-12-29 15:23:55
15,90,36,3,2025-08-06 05:38:00,PAYMENT,PENDING,USD,1205.99,35.95,,PAYMENTS_APP,2025-08-06 05:38:00
16,197,40,5,2025-10-13 20:54:08,PAYMENT,APPROVED,USD,2018.25,60.01,AUTH0000000016,PAYMENTS_APP,2025-10-13 20:54:08
17,87,23,1,2025-10-01 01:03:14,PAYMENT,APPROVED,USD,683.9,18.41,AUTH0000000017,PAYMENTS_APP,2025-10-01 01:03:14
