refund_id,original_transaction_id,refund_ts,refund_amount,reason_code,status,updated_at
1,86,2025-11-30 06:54:41,1246.17,DUPLICATE,COMPLETED,2025-11-30 06:54:41
2,106,2025-09-14 01:54:40,258.46,DUPLICATE,COMPLETED,2025-09-14 01:54:40
3,109,2025-07-19 01:19:23,1970.11,CUSTOMER_REQUEST,COMPLETED,2025-07-19 01:19:23
4,122,2025-03-30 01:38:56,215.5,CUSTOMER_REQUEST,COMPLETED,2025-03-30 01:38:56
5,126,2025-10-03 16:46:15,194.32,PRODUCT_RETURN,COMPLETED,2025-10-03 16:46:15
6,143,2026-08-11 17:46:44,573.08,PRODUCT_RETURN,COMPLETED,2026-08-11 17:46:44
7,146,2026-07-26 20:05:05,30.62,PRODUCT_RETURN,COMPLETED,2026-07-26 20:05:05
8,167,2025-05-21 20:31:45,740.49,PRODUCT_RETURN,COMPLETED,2025-05-21 20:31:45
9,186,2026-04-08 17:47:34,207.59,DUPLICATE,COMPLETED,2026-04-08 17:47:34
10,202,2025-01-25 07:46:13,97.89,CUSTOMER_REQUEST,COMPLETED,2025-01-25 07:46:13
11,204,2025-06-11 13:56:04,401.07,DUPLICATE,COMPLETED,2025-06-11 13:56:04
12,359,2026-05-01 22:56:43,1083.13,CUSTOMER_REQUEST,COMPLETED,2026-05-01 22:56:43
13,391,2026-05-28 08:27:55,177.22,PRODUCT_RETURN,COMPLETED,2026-05-28 08:27:55
14,483,2025-10-11 19:58:52,1557.98,PRODUCT_RETURN,COMPLETED,2025-10-11 19:58:52
15,564,2026-05-16 21:02:58,358.14,CUSTOMER_REQUEST,COMPLETED,2026-05-16 21:02:58
16,596,2025-02-27 04:51:21,494.46,CUSTOMER_REQUEST,COMPLETED,2025-02-27 04:51:21
17,636,2025-03-11 13:08:45,185.36,DUPLICATE,COMPLETED,2025-03-11 13:08:45
18,655,2025-05-25 07:38:24,1226.39,CUSTOMER_REQUEST,COMPLETED,2025-05-25 07:38:24
19,665,2026-04-06 06:52:24,1118.49,PRODUCT_RETURN,COMPLETED,2026-04-06 06:52:24
20,698,2025-06-22 13:12:58,1789.46,CUSTOMER_REQUEST,COMPLETED,2025-06-22 13:12:58
21,779,2026-06-25 05:34:53,232.32,PRODUCT_RETURN,COMPLETED,2026-06-25 05:34:53
22,805,2025-01-18 04:32:33,926.83,PRODUCT_RETURN,COMPLETED,2025-01-18 04:32:33
23,901,2025-12-25 05:11:45,936.04,CUSTOMER_REQUEST,COMPLETED,2025-12-25 05:11:45
24,937,2025-01-31 04:22:08,207.51,DUPLICATE,COMPLETED,2025-01-31 04:22:08
25,978,2025-06-09 08:21:05,82.9,CUSTOMER_REQUEST,COMPLETED,2025-06-09 08:21:05
26,994,2025-05-29 09:50:46,1606.39,PRODUCT_RETURN,COMPLETED,2025-05-29 09:50:46
